Price,Close,MA_20,RSI,MACD,Signal_Line
Ticker,AAPL,,,,
Date,,,,,
2020-01-02,75.0875015258789,,,0.0,0.0
2020-01-03,74.35749816894531,,,-0.058233886023188575,-0.011646777204637715
2020-01-06,74.94999694824219,,,-0.05593023158435528,-0.02050346808058123
2020-01-07,74.59750366210938,,,-0.081607115102031,-0.03272419748487119
2020-01-08,75.79750061035156,,,-0.005068083638136045,-0.027192974715524162
2020-01-09,77.40750122070312,,,0.18338924706546322,0.014923469640673318
2020-01-10,77.5824966430664,,,0.34291084473328226,0.08052094465919511
2020-01-13,79.23999786376953,,,0.5962066571532318,0.18365808715800247
2020-01-14,78.16999816894531,,,0.7025073133691819,0.28742793240023834
2020-01-15,77.83499908447266,,,0.7510619482429064,0.380154735568772
2020-01-16,78.80999755859375,,,0.8583218743759318,0.475788163330204
2020-01-17,79.68250274658203,,,1.0021775366344627,0.5810660379910558
2020-01-21,79.14250183105469,,,1.0603871415911499,0.6769302587110747
2020-01-22,79.42500305175781,,70.86843370663613,1.1164444834042655,0.7648331036497129
2020-01-23,79.80750274658203,,71.90257027543723,1.17815383531331,0.8474972499824325
2020-01-24,79.57749938964844,,75.40148088306488,1.1947275174774035,0.9169433034814267
2020-01-27,77.23750305175781,,59.513444497186214,1.0074310931590986,0.9350408614169611
2020-01-28,79.42250061035156,,67.41248082325902,1.0235099837017145,0.9527346858739119
2020-01-29,81.08499908447266,,68.46516322138224,1.1570644345273706,0.9936006356046037
2020-01-30,80.96749877929688,78.00912513732911,63.879136084635434,1.2391419493251448,1.042708898348712
2020-01-31,77.37750244140625,78.12362518310547,49.368860133542604,1.002944944513601,1.0347561075816898
2020-02-03,77.16500091552734,78.26400032043458,42.98750522119832,0.7895090504228932,0.9857066961499306
2020-02-04,79.7125015258789,78.5021255493164,54.739601916479636,0.8165093638508552,0.9518672296901155
2020-02-05,80.36250305175781,78.79037551879883,57.618700029482696,0.8802104791268874,0.93753587957747
2020-02-06,81.30249786376953,79.06562538146973,57.52907605151069,0.9950732128042006,0.9490433462228162
2020-02-07,80.00749969482422,79.19562530517578,50.9572816598695,0.9704208201534072,0.9533188410089344
2020-02-10,80.38749694824219,79.33587532043457,53.702040042214655,0.9703605119942154,0.9567271752059906
2020-02-11,79.90249633789062,79.36900024414062,51.40294891406294,0.9205655151805416,0.9494948432009009
2020-02-12,81.80000305175781,79.55050048828124,55.37569403534079,1.0224296228836778,0.9640817991374563
2020-02-13,81.21749877929688,79.71962547302246,54.342070073292305,1.0441184875501222,0.9800891368199895
2020-02-14,81.23750305175781,79.84100074768067,62.0736474810336,1.0508081840229977,0.9942329462605912
2020-02-18,79.75,79.84437561035156,51.03198117498627,0.9254131650621105,0.9804689900208952
2020-02-19,80.90499877929688,79.93250045776367,49.41406182091098,0.9087598401214336,0.9661271600410029
2020-02-20,80.07499694824219,79.96500015258789,47.22351442285783,0.8191451535439143,0.9367307587415852
2020-02-21,78.26249694824219,79.8877498626709,53.09546581159175,0.5950123346749905,0.8683870739282662
2020-02-24,74.54499816894531,79.63612480163575,42.64044613929294,0.11607632228763975,0.7179249236001409
2020-02-25,72.0199966430664,79.37524948120117,28.364506075616262,-0.46190587549095596,0.4819587637819216
2020-02-26,73.1624984741211,79.06224937438965,30.29556681102791,-0.8183372989029749,0.22189955124494232
2020-02-27,68.37999725341797,78.42699928283692,20.78012456819991,-1.4697769753200163,-0.1164357540680494
2020-02-28,68.33999633789062,77.79562416076661,22.030464874094534,-1.9666055472521293,-0.4864697127048654
2020-03-02,74.70249938964844,77.66187400817871,39.4094786320316,-1.8258971416769327,-0.7543551984992789
2020-03-03,72.33000183105469,77.42012405395508,36.820140575677215,-1.8841066332459633,-0.9803054854486158
2020-03-04,75.68499755859375,77.21874885559082,39.87079195533325,-1.6406060727827452,-1.1123656029154418
2020-03-05,73.2300033569336,76.86212387084962,37.54192507522298,-1.6269729081900692,-1.2152870639703675
2020-03-06,72.25749969482422,76.40987396240234,36.39805698910043,-1.6753292917892537,-1.3072955095341448
2020-03-09,66.5425033569336,75.73662414550782,32.26586335458194,-2.150020419377725,-1.475840491502861
2020-03-10,71.33499908447266,75.28399925231933,38.29357616992938,-2.115120413788617,-1.603696475960012
2020-03-11,68.85749816894531,74.73174934387207,36.80992294260635,-2.261308568895771,-1.735218894547164
2020-03-12,62.057498931884766,73.74462413787842,32.94569438945521,-2.8925236316210743,-1.9666798419619462
2020-03-13,69.49250030517578,73.15837421417237,45.068568126544235,-2.7609965925066007,-2.1255431920708774
2020-03-16,60.5525016784668,72.1241241455078,40.05291505656977,-3.3396462774677076,-2.3683638091502437
2020-03-17,63.21500015258789,71.29737415313721,41.593069510005456,-3.5425526050433263,-2.6032015683288603
2020-03-18,61.66749954223633,70.33549919128419,43.998927771568965,-3.7846011712910865,-2.839481488921306
2020-03-19,61.19499969482422,69.39149932861328,43.661285929638446,-3.96880329881391,-3.065345850899827
2020-03-20,57.310001373291016,68.34387454986572,33.86071148191547,-4.377807073390684,-3.3278380953979987
2020-03-23,56.092498779296875,67.4212495803833,34.60242997602262,-4.745484800874692,-3.611367436493338
2020-03-24,61.720001220703125,66.90624980926513,37.30454702266999,-4.530554223938026,-3.7952047939822755
