Sector,Symbols
Energy,"RELIANCE.NS, RELIANCE.BO, ONGC.NS, ADANIENT.NS, IOC.NS, COALINDIA.NS, ONGC.BO, BPCL.NS, BPCL.BO, IOC.BO, COALINDIA.BO, HINDPETRO.NS, PETRONET.BO, ADANIENT.BO, PETRONET.NS, HINDPETRO.BO, OIL.NS, CASTROLIND.NS, CASTROLIND.BO, OIL.BO, MRPL.NS, AEGISCHEM.NS, MRPL.BO, HINDOILEXP.NS, GMDCLTD.NS, CONFIPET.NS, PANAMAPET.NS, CHENNPETRO.NS, GMDCLTD.BO, CHENNPETRO.BO, UNIDT.NS, HINDOILEXP.BO, CONFIPET.BO, LIKHITHA.NS, ASIANENE.NS, DEEPINDS.NS, UNIDT.BO, SOUTHWEST.NS, JINDRILL.NS, PANAMAPET.BO, ABAN.NS, REFEX.NS, GULFPETRO.NS, AAKASH.NS, ALPHAGEO.NS, SELAN.NS, JINDRILL.BO, ANMOL.NS, GULFPETRO.BO, SELAN.BO, DEEPENR.NS, ABAN.BO, REFEX.BO, ALPHAGEO.BO, MERCATOR.NS, OILCOUNTUB.NS, MERCATOR.BO, OILCOUNTUB.BO, LIKHITHA.BO, DEEPENR.BO, ANMOL.BO, ASIANENE.BO"
Technology,"TCS.NS, TCS.BO, INFY.NS, INFY.BO, WIPRO.NS, HCLTECH.NS, HCLTECH.BO, WIPRO.BO, TECHM.NS, TECHM.BO, PAYTM.NS, LTTS.NS, MPHASIS.NS, TATAELXSI.NS, COFORGE.NS, PERSISTENT.NS, OFSS.NS, DIXON.NS, OFSS.BO, MPHASIS.BO, TANLA.NS, KPITTECH.NS, HAPPSTMNDS.NS, LTTS.BO, BSOFT.NS, CAMS.NS, REDINGTON.NS, FSL.NS, HFCL.NS, DIXON.BO, ITI.BO, ZENSARTECH.NS, ITI.NS, POWERINDIA.NS, TATAELXSI.BO, INTELLECT.NS, ECLERX.NS, SONATSOFTW.NS, PERSISTENT.BO, MASTEK.NS, SWSOLAR.NS, INFIBEAM.BO, INFIBEAM.NS, FSL.BO, REDINGTON.BO, TEJASNET.NS, VAKRANGEE.NS, NEWGEN.NS, ZENSARTECH.BO, RATEGAIN.NS, TANLA.BO, SONATSOFTW.BO, RSYSTEMS.NS, BBOX.NS, INTELLECT.BO, VAKRANGEE.BO, GTLINFRA.NS, SUBEXLTD.NS, OPTIEMUS.NS, ECLERX.BO, HFCL.BO, ASTRAMICRO.NS, MASTEK.BO, SASKEN.NS, RPSGVENT.NS, DATAMATICS.NS, NUCLEUS.BO, PGEL.NS, EXPLEOSOL.NS, NEWGEN.BO, NELCO.NS, ACCELYA.NS, NUCLEUS.NS, CIGNITITEC.NS, URJA.NS, 3IINFOLTD.NS, ACCELYA.BO, RAMCOSYS.BO, QUICKHEAL.NS, RAMCOSYS.NS, XCHANGING.NS, INFOBEAN.NS, CEREBRAINT.NS, DIGISPICE.NS, QUICKHEAL.BO, SASKEN.BO, SAKSOFT.NS, FCSSOFT.NS, XCHANGING.BO, GENESYS.NS, ASTRAMICRO.BO, ADSL.NS, OPTIEMUS.BO, TEJASNET.BO, HCL-INSYS.NS, GTLINFRA.BO, CENTUM.NS, AURIONPRO.NS, KELLTONTEC.NS, MINDTECK.NS, CREATIVE.NS, ONWARDTEC.NS, TRIGYN.NS, CYBERTECH.NS, DLINKINDIA.NS, XELPMOC.NS, WEBELSOLAR.NS, KELLTONTEC.BO, SWELECTES.NS, AURUM.NS, SECURKLOUD.NS, NELCO.BO, DATAMATICS.BO, SAKSOFT.BO, INSPIRISYS.NS, CENTUM.BO, VISESHINFO.NS, BPL.NS, TVSELECT.NS, CEREBRAINT.BO, DLINKINDIA.BO, 63MOONS.BO, GOLDTECH.NS, BIRLACABLE.NS, AIRAN.NS, COMPINFO.NS, IRIS.NS, PARACABLES.NS, HCL-INSYS.BO, INDOSOLAR.NS, ALANKIT.NS, SUVIDHAA.NS, PALREDTEC.NS, CYBERTECH.BO, ALANKIT.BO, AKSHOPTFBR.NS, SMARTLINK.NS, PGEL.BO, INTENTECH.NS, GSS.NS, MICEL.NS, SURANASOL.NS, DSSL.NS, SWELECTES.BO, TVSELECT.BO, AURIONPRO.BO, KERNEX.NS, TRIGYN.BO, DRCSYSTEMS.NS, CTE.NS, AVANTEL.BO, GENESYS.BO, BIRLACABLE.BO, PARACABLES.BO, ROLTA.NS, IZMO.NS, RSSOFTWARE.NS, VIRINCHI.BO, MRO-TEK.NS, ADSL.BO, ONWARDTEC.BO, TREJHARA.NS, SMARTLINK.BO, AKSHOPTFBR.BO, BPL.BO, UJAAS.BO, PANACHE.NS, HOVS.NS, ROLTA.BO, MINDTECK.BO, NITIRAJ.NS, INTENTECH.BO, FCSSOFT.BO, VISESHINFO.BO, WEBELSOLAR.BO, CALSOFT.NS, GSS.BO, TERASOFT.NS, CTE.BO, IRIS.BO, IZMO.BO, RSSOFTWARE.BO, TNTELE.NS, INDOSOLAR.BO, HOVS.BO, MRO-TEK.BO, DSSL.BO, TERASOFT.BO, SURANASOL.BO, KAVVERITEL.NS, ADROITINFO.NS, KERNEX.BO, NINSYS.BO, GOLDTECH.BO, CALSOFT.BO, MELSTAR.NS, TNTELE.BO, BGLOBAL.NS, SHYAMTEL.BO, QUINTEGRA.NS, KAVVERITEL.BO, MELSTAR.BO, BGLOBAL.BO, QUINTEGRA.BO, RATEGAIN.BO, GENSOL.BO, SWSOLAR.BO, MAPMYINDIA.BO, SWSOLAR.BO, KPITTECH.BO, MAPMYINDIA.NS, BBOX.BO, BSOFT.BO, BSOFT.BO, POWERINDIA.BO, XELPMOC.BO, DRCSYSTEMS.BO, SUVIDHAA.BO, COFORGE.BO, 63MOONS.NS, HAPPSTMNDS.BO, ADROITINFO.BO, TREJHARA.BO, RPSGVENT.BO, INSPIRISYS.BO, CAMS.BO, SECURKLOUD.BO, AURUM.BO, PAYTM.BO"
Financial Services,"HDFCBANK.NS, HDFCBANK.BO, ICICIBANK.NS, BAJFINANCE.NS, SBIN.NS, KOTAKBANK.NS, ICICIBANK.BO, BAJAJFINSV.NS, KOTAKBANK.BO, AXISBANK.NS, BAJFINANCE.BO, SBIN.BO, AXISBANK.BO, HDFCLIFE.NS, SBILIFE.NS, HDFCLIFE.BO, BAJAJFINSV.BO, SBICARD.NS, ICICIPRULI.NS, SBILIFE.BO, INDUSINDBK.NS, ICICIGI.NS, PEL.NS, MUTHOOTFIN.NS, ICICIPRULI.BO, BAJAJHLDNG.NS, ICICIGI.BO, IDBI.NS, HDFCAMC.NS, MUTHOOTFIN.BO, CHOLAFIN.NS, INDUSINDBK.BO, STARHEALTH.NS, BANDHANBNK.NS, PNB.NS, IDBI.BO, POLICYBZR.NS, IOB.NS, CANBK.NS, AUBANK.NS, MFSL.NS, YESBANK.NS, PFC.NS, YESBANK.BO, ABCAPITAL.NS, UNIONBANK.NS, IDFCFIRSTB.NS, IRFC.NS, PEL.BO, RECLTD.NS, SUNDARMFIN.NS, PNB.BO, BAJAJHLDNG.BO, ISEC.NS, GICRE.NS, AUBANK.BO, PFC.BO, IEX.NS, BANKBARODA.NS, NIACL.NS, BANKINDIA.NS, AAVAS.NS, NAM-INDIA.NS, GICRE.BO, CRISIL.NS, LICHSGFIN.NS, CHOLAFIN.BO, POONAWALLA.NS, RECLTD.BO, L&TFH.NS, FEDERALBNK.NS, M&MFIN.NS, CENTRALBK.NS, INDIANB.NS, APTUS.NS, NIACL.BO, M&MFIN.BO, ABCAPITAL.BO, CDSL.NS, MFSL.BO, ABSLAMC.NS, UCOBANK.NS, UNIONBANK.BO, LICHSGFIN.BO, SUNDARMFIN.BO, IOB.BO, CRISIL.BO, MANAPPURAM.NS, MANAPPURAM.BO, MOTILALOFS.NS, MAHABANK.NS, UTIAMC.NS, BANKINDIA.BO, L&TFH.BO, CANBK.BO, UCOBANK.BO, CHOLAHLDNG.NS, BANKBARODA.BO, FEDERALBNK.BO, IIFL.NS, CUB.BO, IBULHSGFIN.NS, CUB.NS, ANGELONE.NS, IDFC.NS, CGCL.NS, MCX.BO, CREDITACC.NS, BSE.NS, HUDCO.NS, MOTILALOFS.BO, MCX.NS, RBLBANK.NS, PNBHOUSING.NS, CANFINHOME.NS, MAHABANK.BO, JMFINANCIL.BO, RBLBANK.BO, DHANI.NS, TATAINVEST.NS, IBULHSGFIN.BO, HOMEFIRST.NS, JMFINANCIL.NS, EDELWEISS.NS, INDIANB.BO, PSB.NS, HUDCO.BO, CENTRALBK.BO, EQUITASBNK.NS, CANFINHOME.BO, PNBHOUSING.BO, IEX.BO, EDELWEISS.BO, IDFC.BO, MASFIN.BO, CSBBANK.NS, TATAINVEST.BO, CGCL.BO, RELIGARE.NS, SHAREINDIA.NS, KARURVYSYA.NS, UJJIVANSFB.NS, J&KBANK.NS, FINOPB.NS, IFCI.NS, MASFIN.NS, ICRA.NS, INDOSTAR.NS, IIFL.BO, PAISALO.NS, IIFLSEC.NS, ICRA.BO, DCBBANK.NS, SPANDANA.NS, ANANDRATHI.NS, UJJIVAN.BO, DCBBANK.BO, KARURVYSYA.BO, PILANIINVS.NS, KTKBANK.NS, SOUTHBANK.NS, CARERATING.NS, GEOJITFSL.NS, UJJIVAN.NS, REPCOHOME.NS, PAISALO.BO, DOLATALGO.NS, SURYODAY.NS, PILANIINVS.BO, UGROCAP.NS, KTKBANK.BO, RELIGARE.BO, VHL.NS, CENTRUM.NS, PFS.NS, 5PAISA.NS, REPCOHOME.BO, PNBGILTS.NS, BFINVEST.NS, SOUTHBANK.BO, PFS.BO, IFCI.BO, BFINVEST.BO, DVL.NS, 5PAISA.BO, CARERATING.BO, SMCGLOBAL.NS, GEOJITFSL.BO, NSIL.NS, KICL.NS, J&KBANK.BO, YAARI.NS, GICHSGFIN.NS, NAHARCAP.NS, VLSFINANCE.NS, PSB.BO, HEXATRADEX.NS, SUMMITSEC.NS, ARMANFIN.NS, PNBGILTS.BO, CENTRUM.BO, DELPHIFX.NS, SATIN.NS, MUTHOOTCAP.NS, THEINVEST.NS, NBIFIN.NS, KICL.BO, ARIHANTCAP.NS, GICHSGFIN.BO, TFCILTD.NS, CONSOFINVT.NS, INVENTURE.NS, ARMANFIN.BO, INDOTHAI.NS, SUMMITSEC.BO, CREST.NS, BIRLAMONEY.NS, SATIN.BO, DHUNINV.NS, NSIL.BO, VHL.BO, RELCAPITAL.NS, DHANBANK.NS, PRIMESECU.NS, SILINV.NS, ALMONDZ.NS, IVC.NS, DHANBANK.BO, JPOLYINVST.NS, TFCILTD.BO, RHFL.NS, WEALTH.NS, EMKAY.NS, JINDALPHOT.NS, CHOICEIN.BO, BIRLAMONEY.BO, CREST.BO, VLSFINANCE.BO, IITL.NS, RELCAPITAL.BO, CAPTRUST.NS, HEXATRADEX.BO, MCDHOLDING.NS, SRGHFL.BO, IVC.BO, DBSTOCKBRO.NS, BLBLIMITED.NS, EMKAY.BO, SILINV.BO, INVENTURE.BO, DHUNINV.BO, NDGL.NS, MAHAPEXLTD.NS, CSLFINANCE.BO, IITL.BO, PRIMESECU.BO, WELINV.NS, MAHAPEXLTD.BO, NAHARCAP.BO, INDBANK.NS, STEELCITY.NS, AUSOMENT.NS, WELINV.BO, KEYFINSERV.NS, AUSOMENT.BO, MONARCH.BO, HBSL.NS, 21STCENMGM.NS, VIJIFIN.NS, TIMESGTY.NS, LFIC.NS, INDBANK.BO, MCDHOLDING.BO, SPCENET.NS, DBSTOCKBRO.BO, INFOMEDIA.NS, ALMONDZ.BO, WILLAMAGOR.NS, BLBLIMITED.BO, TFL.NS, AVONMORE.BO, KHANDSE.NS, ONELIFECAP.NS, TIMESGTY.BO, INFOMEDIA.BO, INDOTHAI.BO, WILLAMAGOR.BO, NAGREEKCAP.NS, JPOLYINVST.BO, JINDALPHOT.BO, MASKINVEST.NS, GLFL.NS, 21STCENMGM.BO, KHANDSE.BO, NAGREEKCAP.BO, TCIFINANCE.NS, DCMFINSERV.NS, ONELIFECAP.BO, TFL.BO, TCIFINANCE.BO, GLFL.BO, BLUECHIP.NS, DCMFINSERV.BO, BLUECHIP.BO, ATNINTER.NS, ATNINTER.BO, DHANI.BO, CREDITACC.BO, EQUITASBNK.BO, UGROCAP.BO, POLICYBZR.BO, SURYODAY.BO, ANANDRATHI.BO, IDFCFIRSTB.BO, IDFCFIRSTB.BO, MONARCH.NS, SMCGLOBAL.BO, DVL.BO, APTUS.BO, HDFCAMC.BO, STARHEALTH.BO, SPANDANA.BO, SHAREINDIA.BO, DOLATALGO.BO, CHOLAHLDNG.BO, CHOLAHLDNG.BO, DOLATALGO.BO, STARTECK.BO, ISEC.BO, STARTECK.BO, DELPHIFX.BO, SBICARD.BO, UJJIVANSFB.BO, ABSLAMC.BO, IRFC.BO, POONAWALLA.BO, INDOSTAR.BO, UTIAMC.BO, IIFLSEC.BO, YAARI.BO, NAM-INDIA.BO, CSBBANK.BO, ANGELONE.BO, BANDHANBNK.BO"
Consumer Defensive,"HINDUNILVR.NS, HINDUNILVR.BO, DMART.NS, ITC.NS, ITC.BO, NESTLEIND.NS, NESTLEIND.BO, DMART.BO, DABUR.NS, GODREJCP.NS, DABUR.BO, BRITANNIA.NS, BRITANNIA.BO, GODREJCP.BO, TATACONSUM.NS, MARICO.NS, MCDOWELL-N.NS, PGHH.NS, MARICO.BO, UBL.NS, COLPAL.NS, COLPAL.BO, VBL.NS, PGHH.BO, HATSUN.NS, UBL.BO, EMAMILTD.NS, VBL.BO, GILLETTE.NS, GILLETTE.BO, RADICO.NS, EMAMILTD.BO, HATSUN.BO, ZYDUSWELL.NS, ZYDUSWELL.BO, GODREJAGRO.NS, GODREJAGRO.BO, BALRAMCHIN.NS, BBTC.BO, AVANTIFEED.NS, BBTC.NS, RENUKA.NS, NIITLTD.NS, TRIVENI.NS, KRBL.BO, KRBL.NS, RADICO.BO, GODFRYPHLP.NS, CCL.NS, VSTIND.BO, JYOTHYLAB.BO, JYOTHYLAB.NS, VSTIND.NS, GODFRYPHLP.BO, GLOBUSSPR.NS, HNDFDS.NS, GAEL.NS, VENKEYS.NS, TASTYBITE.NS, BANARISUG.NS, DALMIASUG.NS, CCL.BO, BALRAMCHIN.BO, DODLA.NS, BAJAJCON.NS, GAEL.BO, ATFL.NS, BECTORFOOD.NS, DHAMPURSUG.NS, BAJAJHIND.NS, RENUKA.BO, DIAMONDYD.NS, NIITLTD.BO, HNDFDS.BO, HERITGFOOD.NS, TRIVENI.BO, ATFL.BO, APTECHT.NS, ADFFOODS.NS, BANARISUG.BO, DWARKESH.NS, FCONSUMER.NS, FCONSUMER.BO, TI.NS, DIAMONDYD.BO, HERITGFOOD.BO, GMBREW.NS, PARAGMILK.NS, GOKULAGRO.NS, DALMIASUG.BO, AVADHSUGAR.NS, DHAMPURSUG.BO, ASALCBR.NS, PARAGMILK.BO, APEX.NS, GLOBUSSPR.BO, ADFFOODS.BO, APEX.BO, UTTAMSUGAR.NS, BCLIND.NS, GMBREW.BO, VADILALIND.NS, IFBAGRO.NS, KAYA.NS, ANDREWYU.BO, ZEELEARN.NS, VADILALIND.BO, VIKASLIFE.NS, BAJAJHIND.BO, DWARKESH.BO, VISHWARAJ.NS, ASALCBR.BO, APTECHT.BO, RANASUG.NS, MAGADSUGAR.NS, WATERBASE.BO, GOKUL.NS, AVADHSUGAR.BO, UGARSUGAR.NS, ZEELEARN.BO, EIFFL.NS, KCPSUGIND.NS, UTTAMSUGAR.BO, MAWANASUG.NS, CLEDUCATE.NS, COASTCORP.NS, MGEL.NS, IFBAGRO.BO, NGIL.NS, MCLEODRUSS.NS, SAKUMA.NS, KMSUGAR.NS, KOTARISUG.NS, JAYSREETEA.NS, SDBL.NS, CUPID.NS, HARRMALAYA.NS, STEL.NS, DTIL.NS, KAYA.BO, COMPUSOFT.NS, CUPID.BO, PONNIERODE.NS, FOODSIN.BO, SAKHTISUG.NS, TI.BO, SKMEGGPROD.NS, GOLDENTOBC.NS, MCLEODRUSS.BO, KRITINUT.BO, JHS.NS, SCPL.BO, COASTCORP.BO, GOKULAGRO.BO, UNITEDTEA.NS, KCPSUGIND.BO, HARRMALAYA.BO, SDBL.BO, UGARSUGAR.BO, UMANGDAIRY.NS, PONNIERODE.BO, GOKUL.BO, SANWARIA.NS, ASPINWALL.NS, SAKUMA.BO, JHS.BO, GRMOVER.BO, ROML.NS, RAJSREESUG.NS, SANWARIA.BO, GROBTEA.NS, SKMEGGPROD.BO, STEL.BO, CLEDUCATE.BO, SRPL.NS, ANIKINDS.NS, KMSUGAR.BO, SIMBHALS.NS, SAKHTISUG.BO, PKTEA.NS, MAWANASUG.BO, GANGESSECU.NS, RANASUG.BO, PALASHSECU.NS, EDUCOMP.NS, MTEDUCARE.NS, LCCINFOTEC.NS, DHARSUGAR.NS, GLOBAL.NS, AJOONI.NS, MTEDUCARE.BO, COMPUSOFT.BO, AKG.NS, TREEHOUSE.NS, AMBICAAGAR.NS, GOLDENTOBC.BO, AGRITECH.NS, RAJSREESUG.BO, EDUCOMP.BO, ANIKINDS.BO, NKIND.NS, SIMBHALS.BO, TREEHOUSE.BO, SHANTI.NS, RKDL.NS, UMESLTD.NS, RKDL.BO, AGRITECH.BO, DHARSUGAR.BO, NORBTEAEXP.NS, NKIND.BO, UMESLTD.BO, NGIL.BO, MEGASTAR.BO, BAJAJCON.BO, DODLA.BO, MANORAMA.BO, FOODSIN.NS, DCMSRIND.NS, AMBICAAGAR.BO, TATACONSUM.BO, LCCINFOTEC.BO, BECTORFOOD.BO"
