Symbol,ShortName,Sector,Industry,MarketCap,AveragePrice,PE_Ratio,DividendYield,Beta,Revenue,ProfitMargins,EBITDA,ForwardEps,TrailingEps,SharesOutstanding
PARAS.NS,Paras Def and Spce Tech L,Industrials,Aerospace & Defense,25640885557.386852,657.4569182485905,inf,0.0,0.226,2392304128,0.13727,0,0.0,8.44,39000100
SOBHA.BO,SOBHA,Real Estate,Real Estate - Development,56348080359.958824,594.1013579243108,inf,0.0017,0.959,35440349184,0.02559,0,30.37,9.62,94845904
AHLUCONT.NS,AHLUWALIA CONT LTD,Industrials,Engineering & Construction,30564002078.2886,456.2635783083526,inf,0.0004,0.921,35546902528,0.06954,0,0.0,36.91,66987600
JSL.BO,JINDAL STAINLESS LTD.,Basic Materials,Steel,149975384436.1624,182.13384539045785,inf,0.0029,1.051,388735303680,0.07661,0,11.77,36.19,823435008
DOLLAR.NS,DOLLAR INDUSTRIES,Consumer Cyclical,Apparel Manufacturing,18616916536.138596,328.24747357696657,inf,0.0053,0.708,14786938880,0.03899,0,23.83,10.13,56716100
SURYAROSNI.NS,SURYA ROSHNI,Basic Materials,Steel,26666539038.922768,245.93548809749024,inf,0.0074,1.304,78801297408,0.04833,0,24.12,34.99,108429000
ALEMBICLTD.NS,ALEMBIC LTD,Real Estate,Real Estate - Development,19664585629.483906,76.58085702846736,inf,0.0234,1.145,1455723008,1.68108,0,0.0,9.52,256782000
TIPSINDLTD.NS,TIPS INDUSTRIES,Communication Services,Entertainment,17301022305.87645,134.71483648980706,inf,0.0139,0.527,2303406080,0.51979,0,0.0,9.89,128427000
SARDAEN.NS,SARDA ENERGY & MIN,Basic Materials,Steel,29692827463.40303,84.26341981409438,inf,0.0032,1.108,40589099008,0.13547,0,47.33,15.59,352380992
GAEL.BO,GUJARAT AMBUJA EXPORTS LTD.,Consumer Defensive,Packaged Foods,43499941141.20585,94.83909029019303,inf,0.0021,0.325,50087600128,0.06468,0,24.73,7.06,458671008
USHAMART.NS,USHA MARTIN,Basic Materials,Steel,36125255588.04374,118.54373106215765,inf,0.0069999998,0.684,32252000256,0.13145,0,0.0,13.91,304742016
